InventoryDate,ItemCode,Branch,InventoryQuantity
1/7/2018,6406,Atlanta F&S,2488
1/7/2018,6421,Atlanta F&S,406
1/7/2018,6422,Atlanta F&S,15
1/7/2018,6423,Atlanta F&S,312
1/7/2018,644,Atlanta F&S,4612
1/7/2018,645,Atlanta F&S,584
1/7/2018,646,Atlanta F&S,1413
1/7/2018,647,Atlanta F&S,64
1/7/2018,648,Atlanta F&S,83
1/7/2018,649,Atlanta F&S,2
1/7/2018,650,Atlanta F&S,1531
1/7/2018,6501,Atlanta F&S,42
1/7/2018,6502,Atlanta F&S,35
1/7/2018,6504,Atlanta F&S,28
1/7/2018,6507,Atlanta F&S,4
1/7/2018,6509,Atlanta F&S,16
1/7/2018,652,Atlanta F&S,5987
1/7/2018,6521,Atlanta F&S,950
1/7/2018,6531,Atlanta F&S,8
1/7/2018,654,Atlanta F&S,7036
1/7/2018,6541,Atlanta F&S,26
1/7/2018,6542,Atlanta F&S,61
1/7/2018,656,Atlanta F&S,1672
1/7/2018,657,Atlanta F&S,384
1/7/2018,658,Atlanta F&S,461
1/7/2018,66,Atlanta F&S,2259
1/7/2018,660,Atlanta F&S,38
1/7/2018,6602,Atlanta F&S,612
1/7/2018,662,Atlanta F&S,76
1/7/2018,6631,Atlanta F&S,234
1/7/2018,6632,Atlanta F&S,490
1/7/2018,664,Atlanta F&S,18
1/7/2018,6641,Atlanta F&S,1001
1/7/2018,667,Atlanta F&S,48
1/7/2018,6681,Atlanta F&S,360
1/7/2018,669,Atlanta F&S,724
1/7/2018,6691,Atlanta F&S,1102
1/7/2018,6692,Atlanta F&S,615
1/7/2018,6693,Atlanta F&S,1000
1/7/2018,6694,Atlanta F&S,6657
1/7/2018,6695,Atlanta F&S,7447
1/7/2018,6696,Atlanta F&S,12606
1/7/2018,6697,Atlanta F&S,1617
1/7/2018,6698,Atlanta F&S,1435
1/7/2018,6699,Atlanta F&S,749
1/7/2018,67,Atlanta F&S,2657
1/7/2018,670,Atlanta F&S,44
1/7/2018,6701,Atlanta F&S,5263
1/7/2018,6702,Atlanta F&S,737
1/7/2018,671,Atlanta F&S,2326
1/7/2018,6717,Atlanta F&S,21
1/7/2018,672,Atlanta F&S,118
1/7/2018,673,Atlanta F&S,604
1/7/2018,674,Atlanta F&S,658
1/7/2018,675,Atlanta F&S,2821
1/7/2018,676,Atlanta F&S,30
1/7/2018,677,Atlanta F&S,86
1/7/2018,678,Atlanta F&S,86
1/7/2018,679,Atlanta F&S,62
1/7/2018,68,Atlanta F&S,1035
1/7/2018,680,Atlanta F&S,188
1/7/2018,681,Atlanta F&S,8
1/7/2018,6811,Atlanta F&S,1243
1/7/2018,682,Atlanta F&S,328
1/7/2018,683,Atlanta F&S,104
1/7/2018,684,Atlanta F&S,16
1/7/2018,685,Atlanta F&S,88
1/7/2018,6852,Atlanta F&S,323
1/7/2018,687,Atlanta F&S,46
1/7/2018,688,Atlanta F&S,70
1/7/2018,689,Atlanta F&S,62
1/7/2018,69,Atlanta F&S,507
1/7/2018,690,Atlanta F&S,64
1/7/2018,693,Atlanta F&S,714
1/7/2018,695,Atlanta F&S,17
1/7/2018,696,Atlanta F&S,6
1/7/2018,697,Atlanta F&S,52
1/7/2018,698,Atlanta F&S,21
1/7/2018,6981,Atlanta F&S,1800
1/7/2018,700,Atlanta F&S,4
1/7/2018,7002,Atlanta F&S,24
1/7/2018,701,Atlanta F&S,8
1/7/2018,7017,Atlanta F&S,25
1/7/2018,7022,Atlanta F&S,24
1/7/2018,703,Atlanta F&S,4
1/7/2018,7031,Atlanta F&S,83
1/7/2018,704,Atlanta F&S,3
1/7/2018,706,Atlanta F&S,6841
1/7/2018,707,Atlanta F&S,190
1/7/2018,7071,Atlanta F&S,2474
1/7/2018,71,Atlanta F&S,602
1/7/2018,7101,Atlanta F&S,131
1/7/2018,7111,Atlanta F&S,65
1/7/2018,7142,Atlanta F&S,324
1/7/2018,7144,Atlanta F&S,8
1/7/2018,7146,Atlanta F&S,415
1/7/2018,7147,Atlanta F&S,4
1/7/2018,7150,Atlanta F&S,157
1/7/2018,7151,Atlanta F&S,128
1/7/2018,7153,Atlanta F&S,978
1/7/2018,7163,Atlanta F&S,36
1/7/2018,7181,Atlanta F&S,8
1/7/2018,7182,Atlanta F&S,947
1/7/2018,7184,Atlanta F&S,195
1/7/2018,7187,Atlanta F&S,20
1/7/2018,7189,Atlanta F&S,3
1/7/2018,7193,Atlanta F&S,14
1/7/2018,722,Atlanta F&S,44
1/7/2018,723,Atlanta F&S,90
1/7/2018,724,Atlanta F&S,49
1/7/2018,725,Atlanta F&S,467
1/7/2018,726,Atlanta F&S,1299
1/7/2018,727,Atlanta F&S,2707
1/7/2018,728,Atlanta F&S,3976
1/7/2018,730,Atlanta F&S,962
1/7/2018,731,Atlanta F&S,221
1/7/2018,734,Atlanta F&S,833
1/7/2018,735,Atlanta F&S,233
1/7/2018,737,Atlanta F&S,67
1/7/2018,738,Atlanta F&S,6976
1/7/2018,739,Atlanta F&S,10512
1/7/2018,740,Atlanta F&S,657
1/7/2018,741,Atlanta F&S,287
1/7/2018,742,Atlanta F&S,866
1/7/2018,743,Atlanta F&S,601
1/7/2018,7436,Atlanta F&S,951
1/7/2018,744,Atlanta F&S,633
