ItemCode,InventoryQuantity
6291,169
6292,6
6293,314
6294,160
6295,4
6296,12
6297,8
6298,269
6299,8
63,10769
630,2547
6301,198
6304,360
6305,100
6308,1216
631,3670
6310,17
6311,197
6312,195
6313,41
6314,60
6315,220
6316,162
6317,55
632,7031
6320,119
633,3789
6332,139
6333,183
6334,40
6335,54
6336,193
6337,28
6338,416
634,1661
6340,664
6341,610
6343,5
635,1142
6352,7520
6353,400
6354,12558
6356,1440
6357,15964
6358,5296
636,1206
637,776
638,336
639,300
640,175
6406,22114
6421,6231
6422,873
6423,6287
644,6807
645,2540
646,3641
647,290
648,298
649,6
65,182
650,4400
6501,592
6502,551
6503,4
6504,281
6507,21
6509,122
651623,36
651659,78
651660,850
652,18725
6521,55080
653,132
6531,582
654,18611
6541,581
6542,204
656,4400
6569,453
657,992
658,1194
6591,2332
66,12960
660,136
6601,698
6602,11875
6603,518
6611,116
6612,696
662,393
663,60
6631,3468
6632,2723
6633,462
664,20
6641,1073
666,201
667,156
668,2047
6680,783
6681,714
6682,351
669,1713
6691,31056
6692,15652
6693,19311
6694,151243
6695,143643
6696,176401
6697,38077
6698,35109
6699,35924
67,10184
670,754
6701,97052
6702,22927
671,6928
6717,239
672,556
6728,117
673,3560
674,1636
675,6481
676,113
6761,170
677,230
678,560
679,351
68,7344
680,998
6801,7
6802,597
6803,528
6804,422
6805,439
6806,645
6807,622
681,60
6811,8224
682,1415
6821,15
6822,47
6824,448
6825,83
6826,451
6827,404
6828,909
6829,128
683,536
6830,430
684,27
